Hugo_Symbol,n_mutations,n_patients,n_high_impact,hotspot_count,high_impact_ratio,patient_frequency,hotspot_ratio,patient_frequency_norm,high_impact_ratio_norm,hotspot_ratio_norm,gene_priority_score,log_n_mutations
FIGNL2,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
RWDD2A,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
OR2F2,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
TMEM176A,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
ADCY7,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
ADH5,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
PCED1B,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
ADRB3,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
EIF3M,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
TRIT1,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
RHCG,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
DNAJB14,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
CCDC73,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
WDR74,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
RC3H2,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
DGCR8,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
PIGV,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
DDX51,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
REXO4,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
ACTR5,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
ACADL,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
RBAK,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
CPPED1,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
POLR3A,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
CRP,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
CORO7,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
PPP6C,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
COL8A1,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
UVRAG,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
ABL1,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
PRSS21,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
CLEC12A,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
CNBP,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
CDKN2AIP,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
PVRIG,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
CENPH,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.008064516129032367,1.0,0.0,0.30403225806451617,1.0986122886681098
ABHD14B,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
PTN,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
MRPL14,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
MRM1,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
SIDT1,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
MSLN,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
MSMO1,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
SHOX,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
SHTN1,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
MRPL58,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
SHISA2,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
SGSM3,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
SGTB,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
NANS,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
NABP1,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
NCLN,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
NCBP2,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
NDUFAF4,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
ALDH4A1,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
ALG10,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
ANAPC11,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
ZNF511,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
ANKRD16,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
ANKRD22,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
APOL6,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
AP5S1,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
ZNF425,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
ZNF428,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
APOL3,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
NCR1,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
MED8,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
MFAP3L,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
MIOX,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
SLC25A51,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
MICOS10,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
MID2,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
