Hugo_Symbol,n_mutations,n_patients,n_high_impact,hotspot_count,high_impact_ratio,patient_frequency,hotspot_ratio,patient_frequency_norm,high_impact_ratio_norm,hotspot_ratio_norm,gene_priority_score,log_n_mutations,weak_label_driver,ml_driver_probability,hybrid_score
KIAA1109,26,23,6.0,0.0,0.2307692307692307,0.0555555555555555,0.0,0.1774193548387097,0.2307692307692307,0.0,0.157940446650124,3.295836866004329,0,0.9886337144587038,0.6563564073352719
SYNE1,25,23,4.0,0.0,0.16,0.0555555555555555,0.0,0.1774193548387097,0.16,0.0,0.1367096774193548,3.258096538021482,0,0.9884023081641133,0.64772525586621
MACF1,24,23,2.0,0.0,0.0833333333333333,0.0555555555555555,0.0,0.1774193548387097,0.0833333333333333,0.0,0.1137096774193548,3.2188758248682006,0,0.9881874894661926,0.6383963646474575
NBEA,26,22,3.0,0.0,0.1153846153846153,0.0531400966183574,0.0,0.1693548387096773,0.1153846153846153,0.0,0.1192928039702232,3.295836866004329,0,0.9879903566889816,0.6405113356014782
PRKDC,24,24,7.0,0.0,0.2916666666666667,0.0579710144927536,0.0,0.185483870967742,0.2916666666666667,0.0,0.180241935483871,3.2188758248682006,0,0.987924979643336,0.66485176197955
BIRC6,26,22,4.0,0.0,0.1538461538461538,0.0531400966183574,0.0,0.1693548387096773,0.1538461538461538,0.0,0.1308312655086848,3.295836866004329,0,0.9876015256656453,0.6448934216028611
CSMD2,25,22,2.0,0.0,0.08,0.0531400966183574,0.0,0.1693548387096773,0.08,0.0,0.1086774193548386,3.258096538021482,0,0.9873815662653599,0.6358999075011514
ZFHX4,26,22,5.0,0.0,0.1923076923076923,0.0531400966183574,0.0,0.1693548387096773,0.1923076923076923,0.0,0.1423697270471463,3.295836866004329,0,0.9872002687232669,0.6492680520528187
AHNAK,24,22,2.0,0.0,0.0833333333333333,0.0531400966183574,0.0,0.1693548387096773,0.0833333333333333,0.0,0.1096774193548386,3.2188758248682006,0,0.9862684509679683,0.6356320383227164
FRAS1,25,20,2.0,0.0,0.08,0.0483091787439613,0.0,0.1532258064516129,0.08,0.0,0.1006129032258064,3.258096538021482,0,0.9829588522567861,0.6300204726443942
PRUNE2,23,21,2.0,0.0,0.0869565217391304,0.0507246376811594,0.0,0.1612903225806453,0.0869565217391304,0.0,0.1067321178120617,3.1780538303479458,0,0.9825782422398297,0.6322397924687225
PREX2,22,21,0.0,0.0,0.0,0.0507246376811594,0.0,0.1612903225806453,0.0,0.0,0.0806451612903226,3.1354942159291497,0,0.9822849142514511,0.6216290130669997
FCGBP,22,21,1.0,0.0,0.0454545454545454,0.0507246376811594,0.0,0.1612903225806453,0.0454545454545454,0.0,0.0942815249266862,3.1354942159291497,0,0.9816092007190096,0.6266781304020802
SDK1,22,21,1.0,0.0,0.0454545454545454,0.0507246376811594,0.0,0.1612903225806453,0.0454545454545454,0.0,0.0942815249266862,3.1354942159291497,0,0.9816092007190096,0.6266781304020802
PCDH7,22,21,1.0,0.0,0.0454545454545454,0.0507246376811594,0.0,0.1612903225806453,0.0454545454545454,0.0,0.0942815249266862,3.1354942159291497,0,0.9816092007190096,0.6266781304020802
SSPOP,23,20,0.0,0.0,0.0,0.0483091787439613,0.0,0.1532258064516129,0.0,0.0,0.0766129032258064,3.1780538303479458,0,0.9811628699250076,0.619342883245327
ZNF831,22,21,2.0,0.0,0.0909090909090909,0.0507246376811594,0.0,0.1612903225806453,0.0909090909090909,0.0,0.1079178885630499,3.1354942159291497,0,0.9809082141238218,0.631712083899513
FAT4,25,19,1.0,0.0,0.04,0.0458937198067632,0.0,0.1451612903225805,0.04,0.0,0.0845806451612902,3.258096538021482,0,0.9808478633428029,0.6223409760701978
ARID2,25,22,16.0,0.0,0.64,0.0531400966183574,0.0,0.1693548387096773,0.64,0.0,0.2766774193548387,3.258096538021482,0,0.9799688860574812,0.6986522993764243
